,DataPesquisa,de,para,Ida,Volta,preco
183,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-21,4297
184,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-22,4186
185,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-16,4188
186,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-17,4518
187,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-18,4585
188,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-19,4485
189,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-20,4281
190,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-21,4302
191,25/01/2020 15:13:50,POA,LIS,2020-07-05,2020-07-22,4255
192,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-16,4163
193,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-17,4455
194,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-18,4613
195,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-19,4386
196,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-20,4162
197,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-21,4204
198,25/01/2020 15:13:50,POA,LIS,2020-07-06,2020-07-22,4257
199,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-16,4183
200,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-17,4468
201,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-18,4532
202,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-19,4438
203,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-20,4172
204,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-21,4270
205,25/01/2020 15:13:50,POA,LIS,2020-07-07,2020-07-22,4272
206,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-16,3531
207,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-17,3538
208,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-18,3544
209,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-19,3542
210,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-20,3569
211,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-21,3546
212,25/01/2020 15:13:50,POA,CUN,2020-07-01,2020-07-22,3548
213,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-16,3529
214,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-17,3540
215,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-18,3547
216,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-19,3549
217,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-20,3570
218,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-21,3541
219,25/01/2020 15:13:50,POA,CUN,2020-07-02,2020-07-22,3553
220,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-16,3545
221,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-17,3569
222,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-18,3598
223,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-19,3567
224,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-20,3573
225,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-21,3543
226,25/01/2020 15:13:50,POA,CUN,2020-07-03,2020-07-22,3548
227,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-16,3602
228,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-17,3609
229,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-18,3649
230,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-19,3651
231,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-20,3640
232,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-21,3631
233,25/01/2020 15:13:50,POA,CUN,2020-07-04,2020-07-22,3607
234,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-16,3635
235,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-17,3639
236,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-18,3684
237,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-19,3677
238,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-20,3683
239,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-21,3656
240,25/01/2020 15:13:50,POA,CUN,2020-07-05,2020-07-22,3656
241,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-16,3639
242,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-17,3652
243,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-18,3704
244,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-19,3710
245,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-20,3668
246,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-21,3664
247,25/01/2020 15:13:50,POA,CUN,2020-07-06,2020-07-22,3659
248,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-16,3711
249,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-17,3703
250,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-18,3748
251,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-19,3750
252,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-20,3702
253,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-21,3695
254,25/01/2020 15:13:50,POA,CUN,2020-07-07,2020-07-22,3711
255,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-16,3059
256,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-17,3088
257,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-18,3071
258,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-19,3065
259,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-20,3011
260,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-21,3022
261,25/01/2020 15:13:51,POA,PUJ,2020-07-01,2020-07-22,3025
262,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-16,3097
263,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-17,3076
264,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-18,3040
265,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-19,3040
266,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-20,3022
267,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-21,3037
268,25/01/2020 15:13:51,POA,PUJ,2020-07-02,2020-07-22,3040
269,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-16,3278
270,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-17,3361
271,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-18,3299
272,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-19,3230
273,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-20,3249
274,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-21,3248
275,25/01/2020 15:13:51,POA,PUJ,2020-07-03,2020-07-22,3237
276,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-16,3427
277,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-17,3503
278,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-18,3503
279,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-19,3408
280,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-20,3404
281,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-21,3396
282,25/01/2020 15:13:51,POA,PUJ,2020-07-04,2020-07-22,3401
283,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-16,3374
284,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-17,3470
285,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-18,3453
286,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-19,3411
287,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-20,3375
288,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-21,3364
289,25/01/2020 15:13:51,POA,PUJ,2020-07-05,2020-07-22,3380
290,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-16,3204
291,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-17,3320
292,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-18,3398
293,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-19,3387
294,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-20,3260
295,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-21,3260
296,25/01/2020 15:13:51,POA,PUJ,2020-07-06,2020-07-22,3256
297,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-16,3426
298,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-17,3532
299,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-18,3631
300,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-19,3593
301,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-20,3476
302,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-21,3463
303,25/01/2020 15:13:51,POA,PUJ,2020-07-07,2020-07-22,3457
304,25/01/2020 15:13:54,POA,FEN,2020-07-04,2020-07-19,2719
305,25/01/2020 15:14:02,POA,CUR,2020-07-04,2020-07-19,3926
306,25/01/2020 15:14:13,POA,AUA,2020-07-04,2020-07-19,3995
307,25/01/2020 15:14:24,POA,GPS,2020-07-04,2020-07-19,4208
308,25/01/2020 15:14:37,POA,JNB,2020-07-04,2020-07-19,3514
309,25/01/2020 15:14:41,POA,RAI,2020-07-04,2020-07-19,5164
310,25/01/2020 15:14:55,GRU,ATL,2020-07-03,2020-07-19,4828
